x-axis,1,2
second,Volt,Volt
-7.400000E-03,-50.899811E-03,+105.657191E-03
-7.392600E-03,-50.882801E-03,+105.737829E-03
-7.385200E-03,-50.877298E-03,+105.629396E-03
-7.377800E-03,-50.843096E-03,+105.577700E-03
-7.370400E-03,-50.823128E-03,+105.544691E-03
-7.363000E-03,-50.805087E-03,+105.443702E-03
-7.355600E-03,-50.774962E-03,+105.386274E-03
-7.348200E-03,-50.761758E-03,+105.319911E-03
-7.340800E-03,-50.746444E-03,+105.289603E-03
-7.333400E-03,-50.728241E-03,+105.269989E-03
-7.326000E-03,-50.704585E-03,+105.136620E-03
-7.318600E-03,-50.690621E-03,+105.089006E-03
-7.311200E-03,-50.663479E-03,+105.042807E-03
-7.303800E-03,-50.645414E-03,+104.955181E-03
-7.296400E-03,-50.641582E-03,+104.850533E-03
-7.289000E-03,-50.612060E-03,+104.829380E-03
-7.281600E-03,-50.596218E-03,+104.780432E-03
-7.274200E-03,-50.547826E-03,+104.651318E-03
-7.266800E-03,-50.510803E-03,+104.626789E-03
-7.259400E-03,-50.464264E-03,+104.548319E-03
-7.252000E-03,-50.426444E-03,+104.508321E-03
-7.244600E-03,-50.361061E-03,+104.411352E-03
-7.237200E-03,-50.318593E-03,+104.353799E-03
-7.229800E-03,-50.257556E-03,+104.309499E-03
-7.222400E-03,-50.191720E-03,+104.169314E-03
-7.215000E-03,-50.130339E-03,+104.088802E-03
-7.207600E-03,-50.086306E-03,+103.972267E-03
-7.200200E-03,-50.032612E-03,+103.842979E-03
-7.192800E-03,-49.992700E-03,+103.702542E-03
-7.185400E-03,-49.944635E-03,+103.617068E-03
-7.178000E-03,-49.901067E-03,+103.524496E-03
-7.170600E-03,-49.881061E-03,+103.311148E-03
-7.163200E-03,-49.850816E-03,+103.157756E-03
-7.155800E-03,-49.830257E-03,+103.069675E-03
-7.148400E-03,-49.796519E-03,+102.954489E-03
-7.141000E-03,-49.739132E-03,+102.830478E-03
-7.133600E-03,-49.668077E-03,+102.691424E-03
-7.126200E-03,-49.602732E-03,+102.623256E-03
-7.118800E-03,-49.540791E-03,+102.470131E-03
-7.111400E-03,-49.450539E-03,+102.381248E-03
-7.104000E-03,-49.358353E-03,+102.334954E-03
-7.096600E-03,-49.281864E-03,+102.178862E-03
-7.089200E-03,-49.205489E-03,+102.022265E-03
-7.081800E-03,-49.155678E-03,+101.918025E-03
-7.074400E-03,-49.114459E-03,+101.799590E-03
-7.067000E-03,-49.066080E-03,+101.635912E-03
