x-axis,1,2,3
second,Volt,Volt,Volt
-9.57600E-03,-17.68844E-03,-13.66834E-03,+60.30151E-03
-9.56550E-03,-18.69347E-03,-14.47236E-03,+57.28643E-03
-9.55500E-03,-19.29648E-03,-14.87437E-03,+64.32161E-03
-9.54450E-03,-19.89950E-03,-14.47236E-03,+65.32663E-03
-9.53400E-03,-19.29648E-03,-15.27638E-03,+68.34171E-03
-9.52350E-03,-20.30151E-03,-15.27638E-03,+68.34171E-03
-9.51300E-03,-20.90452E-03,-15.67839E-03,+68.34171E-03
-9.50250E-03,-21.70854E-03,-16.08040E-03,+69.34673E-03
-9.49200E-03,-21.70854E-03,-16.08040E-03,+72.36181E-03
-9.48150E-03,-22.31156E-03,-16.88442E-03,+72.36181E-03
-9.47100E-03,-22.51256E-03,-16.88442E-03,+74.37186E-03
-9.46050E-03,-23.11558E-03,-17.48744E-03,+75.37688E-03
-9.45000E-03,-23.31658E-03,-17.68844E-03,+80.40201E-03
-9.43950E-03,-23.31658E-03,-17.68844E-03,+81.40703E-03
-9.42900E-03,-24.92462E-03,-18.09045E-03,+80.40201E-03
-9.41850E-03,-24.32161E-03,-18.89447E-03,+80.40201E-03
-9.40800E-03,-24.92462E-03,-19.29648E-03,+84.42211E-03
-9.39750E-03,-25.72864E-03,-19.29648E-03,+84.42211E-03
-9.38700E-03,-25.72864E-03,-19.29648E-03,+88.44221E-03
-9.37650E-03,-25.92965E-03,-20.10050E-03,+88.44221E-03
-9.36600E-03,-26.53266E-03,-20.10050E-03,+88.44221E-03
-9.35550E-03,-27.33668E-03,-20.70352E-03,+92.46231E-03
-9.34500E-03,-27.33668E-03,-20.90452E-03,+94.47236E-03
-9.33450E-03,-28.14070E-03,-20.90452E-03,+92.46231E-03
-9.32400E-03,-28.14070E-03,-21.70854E-03,+96.48241E-03
-9.31350E-03,-28.94472E-03,-21.70854E-03,+97.48744E-03
-9.30300E-03,-28.94472E-03,-22.11055E-03,+100.50251E-03
-9.29250E-03,-29.54774E-03,-22.51256E-03,+100.50251E-03
-9.28200E-03,-29.74874E-03,-21.70854E-03,+100.50251E-03
-9.27150E-03,-30.35176E-03,-23.11558E-03,+103.51759E-03
-9.26100E-03,-30.55276E-03,-23.31658E-03,+106.53266E-03
-9.25050E-03,-30.75377E-03,-23.91960E-03,+107.53769E-03
-9.24000E-03,-31.35678E-03,-23.31658E-03,+108.54271E-03
-9.22950E-03,-31.55779E-03,-24.12060E-03,+108.54271E-03
-9.21900E-03,-31.75879E-03,-24.12060E-03,+110.55276E-03
-9.20850E-03,-32.96482E-03,-24.92462E-03,+112.56281E-03
-9.19800E-03,-32.96482E-03,-24.92462E-03,+116.58291E-03
-9.18750E-03,-33.76884E-03,-25.12563E-03,+116.58291E-03
-9.17700E-03,-33.76884E-03,-25.72864E-03,+116.58291E-03
-9.16650E-03,-34.57286E-03,-25.72864E-03,+119.59799E-03
-9.15600E-03,-34.57286E-03,-26.53266E-03,+120.60301E-03
-9.14550E-03,-35.37688E-03,-26.53266E-03,+121.60804E-03
-9.13500E-03,-35.37688E-03,-26.53266E-03,+120.60301E-03
-9.12450E-03,-36.18090E-03,-26.73367E-03,+125.62814E-03
-9.11400E-03,-36.18090E-03,-27.33668E-03,+124.62311E-03
-9.10350E-03,-36.18090E-03,-27.93970E-03,+128.64321E-03
-9.09300E-03,-36.98492E-03,-28.14070E-03,+128.64321E-03
-9.08250E-03,-37.18593E-03,-28.14070E-03,+129.64824E-03
-9.07200E-03,-37.78894E-03,-28.14070E-03,+132.66332E-03
-9.06150E-03,-37.78894E-03,-28.14070E-03,+133.66834E-03
-9.05100E-03,-38.59296E-03,-29.34673E-03,+134.67337E-03
-9.04050E-03,-38.79397E-03,-28.94472E-03,+136.68342E-03
-9.03000E-03,-39.39698E-03,-29.74874E-03,+136.68342E-03
-9.01950E-03,-39.39698E-03,-29.74874E-03,+137.68844E-03
-9.00900E-03,-39.79899E-03,-30.15075E-03,+138.69347E-03
-8.99850E-03,-40.20100E-03,-29.94975E-03,+140.70352E-03
-8.98800E-03,-40.20100E-03,-30.55276E-03,+140.70352E-03
-8.97750E-03,-41.00502E-03,-30.55276E-03,+144.72362E-03
-8.96700E-03,-41.00502E-03,-31.35678E-03,+144.72362E-03
-8.95650E-03,-41.80904E-03,-31.35678E-03,+144.72362E-03
-8.94600E-03,-41.80904E-03,-31.35678E-03,+148.74372E-03
-8.93550E-03,-42.61306E-03,-31.55779E-03,+148.74372E-03
-8.92500E-03,-42.61306E-03,-32.16080E-03,+152.76382E-03
-8.91450E-03,-43.21608E-03,-32.96482E-03,+149.74874E-03
-8.90400E-03,-43.41708E-03,-32.96482E-03,+152.76382E-03
-8.89350E-03,-43.61809E-03,-32.96482E-03,+155.77889E-03
-8.88300E-03,-43.81910E-03,-32.96482E-03,+154.77387E-03
-8.87250E-03,-44.22111E-03,-32.96482E-03,+156.78392E-03
-8.86200E-03,-45.02513E-03,-33.76884E-03,+160.80402E-03
-8.85150E-03,-45.02513E-03,-33.76884E-03,+159.79899E-03
-8.84100E-03,-45.02513E-03,-34.17085E-03,+160.80402E-03
-8.83050E-03,-45.62814E-03,-34.37186E-03,+161.80904E-03
-8.82000E-03,-45.82915E-03,-34.57286E-03,+160.80402E-03
-8.80950E-03,-46.43216E-03,-34.77387E-03,+164.82412E-03
-8.79900E-03,-46.23116E-03,-34.97487E-03,+164.82412E-03
-8.78850E-03,-46.83417E-03,-35.37688E-03,+165.82914E-03
-8.77800E-03,-46.63317E-03,-35.37688E-03,+168.84422E-03
-8.76750E-03,-47.43719E-03,-36.18090E-03,+168.84422E-03
-8.75700E-03,-48.24121E-03,-36.18090E-03,+168.84422E-03
-8.74650E-03,-48.24121E-03,-36.18090E-03,+172.86432E-03
-8.73600E-03,-48.24121E-03,-36.18090E-03,+176.88442E-03
-8.72550E-03,-48.44221E-03,-36.98492E-03,+172.86432E-03
-8.71500E-03,-49.04523E-03,-36.58291E-03,+172.86432E-03
-8.70450E-03,-49.04523E-03,-36.98492E-03,+176.88442E-03
-8.69400E-03,-49.84925E-03,-36.98492E-03,+176.88442E-03
-8.68350E-03,-49.84925E-03,-37.78894E-03,+179.89950E-03
-8.67300E-03,-50.25126E-03,-37.78894E-03,+178.89447E-03
-8.66250E-03,-50.45226E-03,-37.78894E-03,+180.90452E-03
